verb,noun,instruction
find,length,"In a right triangle with legs of length 8 cm and 15 cm, find the length of the hypotenuse."
save,money,Ava has been saving money for a new bike and has $150 in her savings account. she plans to add $20 each month for 6 months. how much money will she have in total after 9 months?
have,student,"In a school with 4 classrooms, each classroom has exactly 3 students sitting in rows of 2 chairs each. what is the total number of students?"
save,money,"Tom has been saving money for a new bike and has $a$ dollars in his savings account. he earns an additional $4^2 = 16$ dollars per month from his part-time job, and spends $5$ dollars each time he goes to the mall with friends. how many months will it take tom to have exactly $240$ dollars if he already has $20$ dollars?"
have,shelf,"A bookshelf has 12 shelves, and each shelf can hold 8 boxes of books. if the bookshelf is currently empty, how many boxes of books can be placed on it after adding books to 9 of the shelves?"
make,box,"If jimmy needs to package 280 oranges in boxes of 7, how many boxes can he make?"
hold,gallon,"A water tank can hold 2400 gallons of water. if 1200 gallons are already in the tank and more water is added at a rate that increases by 20 gallons every minute, how many minutes will it take for the tank to be full?"
find,length,"In a rectangular garden with a perimeter of 100 meters, find the length of one side if the area is 18 square meters."
have,bag,"A farmer has 18 bags of fertilizer, which she plans to distribute among her 6 cows based on the amount of grass available at each location. fertilizer is needed for three grazing areas, and the amount of grass in each area varies. the total grass is divided equally among the six cows. if a cow needs $3x$ grams of fertilizer per day, how many grams will it get from its share of the grass?"
charge,fee,"A city's water company charges a base fee of $15 per month plus an additional $0.05 per gallon for each household that uses more than 100 gallons of water per month. if there are 80 households in the city and 60% of them use more than 100 gallons of water per month, how much does the total bill come to?"
sell,type,"A bakery sells three types of bread: whole wheat, white, and rye. the ratio of whole wheat to white bread is 2:3, and the ratio of white to rye bread is 4:5. what is the minimum number of pounds of each type of bread that must be sold in order to meet these ratios while also meeting a demand for a total of 120 loaves of bread per day?"
have,book,"A bookshelf has 15 books on it. if 3/5 of the books are fiction and 1/10 of the books are classics, what fraction of the books on the shelf are neither fiction nor classics?"
save,money,"Tom has been saving money to buy a new bike that costs $\$120$. he already has $\$35$ saved up and plans to mow lawns to earn the rest. if he earns $\$15$ per lawn, how many lawns does he need to mow?"
sell,total,"A bakery sells a total of 250 loaves of bread per day. they sell a combination of whole wheat and white bread. if they sell twice as many whole wheat loaves as white bread, and each loaf costs$\$1.50$, how much money do they make in a day from selling bread?"
sell,loaf,"If a bakery sells 250 loaves of bread at $2 each and 150 pastries at $3 each, what is the total amount of money the bakery makes in a day if it operates for 8 hours?"
type,word,"Tom can type 30 words per minute when he types on his computer, but he makes 5 mistakes per minute. how many mistakes does tom make in one hour?"
have,radius,"A circular spinner for a game has a radius of 10 cm. the probability of winning on one spin of this spinner is $\frac{2}{5}$. what is the area, in square centimeters, of the win sector? express your answer in terms of π."
save,money,Maria has been saving money for a new bike and has $120 in her piggy bank. she wants to buy a bike that costs $180. her parents have agreed to give her an allowance of $\$$10 per week for doing chores. how many weeks will it take her to save enough money to buy the bike?
sell,loaf,"A bakery sells 250 loaves of bread at $\$$2 each, 150 loaves at$\$$3 each, and 100 loaves at$\$$4 each on black friday. the total revenue from these sales is$\$$935. what is the price of each loaf of bread sold on cyber monday?"
sell,total,"A bakery sells a total of 180 loaves of bread at $2.50 per loaf. if they make no other profit, what is their total revenue?"
save,money,Tom has been saving money for a new bike and has $120 in his savings account. he plans to add $5 each week from his part-time job. how many weeks will it take him to have enough money to buy a bike that costs $160?
hold,liter,"A water tank can hold 2400 liters of water. if 1200 liters of water are already in the tank, what percentage of the tank is full?"
sell,type,"A bakery sells two types of bread, whole wheat and white. the price of one loaf of whole wheat bread is $\$2$, while that of one loaf of white bread is $\$3$. how much will it cost to buy $10$ loaves of each type if the total budget is$\$60$?"
show,square,The figure shows a square in the interior of a regular hexagon. the square and regular hexagon share a common side. what is the degree measure of $\angle abc$?
save,money,"Tom has been saving money for a new bike and has $240 in his piggy bank. he wants to buy a bike that costs $180. if he also wants to save 10% of the total cost for accessories, how much more will he need to save in order to have enough money for both the bike and the accessories?"
sell,total,A bakery sells a total of 480 muffins and cakes on friday. they sold 30 more muffins than cakes. how many muffins did they sell?
have,shelf,"A bookstore has a shelf with three boxes of books: one box of novels, one box of textbooks, and one box of science fiction. the number of novels on the shelf is three times the number of science fiction books, and the total number of books on the shelf is 96. how many science fiction books are on the shelf?"
sell,loaf,"A bakery sells 250 loaves of bread per day. if they make a profit of $0.50 on each loaf, and they operate for 180 days in a month, how much profit do they make in total in a month?"
produce,box,"A company produces boxes of cookies in a triangular formation, with 12 rows of cookies on the bottom row and one less cookie in each successive row, ending with a single cookie at the top. how many cookies does the company produce if it takes 2 hours to fill the first box and 0.5 hours to fill each subsequent box?"
have,sale,"A bakery is having a sale on bread. if the original price of a loaf of bread is $2x + 3$ dollars and the discounted price is $x - 2$, how much will you save by buying two loaves during the sale?"
save,money,"Tom and alex have been saving money for a new bike and started with $x$ dollars each. after six months, tom adds $193-x^2$ to his savings and alex adds $84/x$. together they now have a total of $1400. what is the value of x?"
have,length,"A rectangular garden has a length that is 3 feet longer than its width. if the area of the garden is 48 square feet, what is the dimensions of the garden?"
sell,type,"A company sells two types of products, a and b. product a has a selling price of $10 per unit, and product b has a selling price of $12 per unit. if the profit margin on product a is 20% and the profit margin on product b is 30%, what is the minimum number of units of each product that must be sold in order to generate $1200 in total revenue?"
have,coordinate,"Each vertex of this parallelogram has integer coordinates. the perimeter of this parallelogram is $p$ units, while the area is $a$ square units. what is the value of the sum $p + a$?"
have,sale,"A bakery is having a sale on bread, offering 10% off all loaves of bread for customers who buy three or more loaves at once. if you buy two loaves of bread during this sale, how much will you pay if each loaf normally costs $2.75?"
plan,trip,"You are planning a road trip from city x to city y. the distance between the cities is 475 miles and it takes 7 hours by car. however, due to traffic and road conditions, your actual driving time may be longer. on average, every hour of extra driving time adds $0.50 to your total cost. how much should you budget for gas if you expect to drive an additional 30 minutes per day?"
sell,loaf,"A bakery sells 250 loaves of bread at $2 per loaf, and 150 loaves at $3 per loaf. how much money does the bakery make in total on a day when it sells 350 loaves? (no answer)"
have,box,"Tom has 15 boxes of pens to package, and each box can hold 12 pens. how many pens does tom need to buy in total?"
plan,trip,"Maria is planning a road trip from city a to city b. the distance between the two cities is 240 miles, and she drives at an average speed of 40 miles per hour. if she leaves early morning, how many hours will it take her to reach city b?"
sell,loaf,"A bakery sells 240 loaves of bread per day. they make $2 profit on each loaf. if they operate 7 days a week, what is their weekly profit?"
have,employee,"A company has 18 employees, and each employee works exactly 200 hours per year. what is the total number of working hours for the company in a year?"
sell,total,"A bakery sells a total of 240 loaves of bread per day. they sell whole wheat bread at $2 each and white bread at $1.50 each. if they make a profit of $60 per day, what is their cost price of each loaf?"
convert,number,"In base-4 numeral system, convert the decimal number 357 to its equivalent."
hold,liter,"A cylindrical water tank can hold 1200 liters of water. water flows into the tank at a rate of 20 liters per minute. at the same time, 5 liters of water flow out of the tank every minute. how many minutes will it take for the tank to be full?"
have,box,"A bookshelf has five identical boxes, and each box can hold either a certain number of books or be empty. if at least one box is used to store books and at most four boxes are used, how many different ways can the books be distributed among the boxes?"
find,value,"If $\frac{x^2 + x - 6}{x+3}$ simplifies to \[ f(x) =\] , find the value of $f(4)$."
sell,total,"A bakery sells a total of $240$ loaves of bread per day. they make $\frac{2}{5}$ of their revenue from whole wheat bread, and the rest comes from white bread. if they sell each loaf of whole wheat bread for $0.50 and each loaf of white bread for $0.30, what is their total daily revenue?"
have,height,A cylindrical container has a height of 10 inches and a radius of 4 inches. what is its volume in cubic inches?
buy,box,A person buys two boxes of cereal at different sale prices. one box costs $p$ dollars and the other one costs $(5-p)$ dollars. the average price paid per box is 3.32 dollars. what is p?
bake,type,"At a bakery, they bake two types of bread, whole wheat and white, in batches that have least common multiples (lcms) of 600 and 1200, respectively. if they want to package these breads into boxes containing whole numbers of each type of bread, what is the lcm of the number of batches for each type of bread?"
hold,liter,"A water tank can hold 1200 liters of water, and its shape is such that the volume of water in the first half of its height is equal to the volume of water in the other half. if a pump fills the tank at a rate of 3 cubic meters per hour, how many hours will it take to fill the entire tank?"
find,distance,"In geometry, if the area of the region bounded by two semi-circles of radius 6 cm each with their centers on the x-axis and tangent to each other and also touching the x-axis is 78 square centimeters, find the distance between the center of one of the circles to the point where they touch the x-axis."
have,box,"Tom has 18 boxes of pens, with some containing 3 pens each and others containing 5 pens each. if he gives away all the pens to his friends, what is the maximum number of groups of 4 pens that he can give to his friend alex?"
save,money,"Tom has been saving money for a new bike and has $240 in his savings account. he plans to mow lawns to earn more money. if he charges $15 per lawn, how many lawns does he need to mow to have at least $300?"
dig,trench,"During a road construction project, three workers were digging a trench. the trench was 20 meters long and had a maximum depth of 12 meters. what is the maximum possible width of the trench?"
sell,loaf,"A bakery sells 200 loaves of bread per day, and each loaf costs $\$0.75$. if the bakery operates from 7am to 10pm, what is its daily revenue?"
have,digit,"In base-4 number system, a two-digit number has an odd digits in units place and its digit is 3 more than twice the tens place. the value of this number in base-10 is 63."
fill,tank,"Two pipes can fill a tank in 8 hours and 12 hours respectively. one pipe is turned on, and then the other pipe is also turned on after some time t. how long will it take to fill the tank if they work together?"
contain,word,"A particular novel contains $40,\!000$ words. if the author completed the novel in $80$ hours, on average how many words per hour did she write? an author wrote a long novel consisting of 40,000 words. she took 80 hours to complete it. calculate the average number of words she wrote per hour."
have,book,"A library has 1000 books on its shelves, with 200 of them being fiction novels and the rest non-fiction. the ratio of fiction to non-fiction is 3:5. what fraction of the total number of books are fiction?"
have,shelf,"A library has 5 shelves, and each shelf can hold 8 books. if the library already has 3 full shelves with 8 books on each shelf, how many more books can they add to make all 5 shelves full?"
sell,loaf,"A bakery sells 250 loaves of bread per day, and each loaf costs $2.50. if the bakery operates for 30 days, how much money does it make in total?"
hold,gallon,"A water tank can hold 720 gallons of water. if 120 gallons are already in the tank, what fraction of its capacity is remaining?"
have,height,A cylindrical jar has a height of 10 cm and a radius of 4 cm. what is the volume of the cylinder?
have,piece,"Maria has 48 pieces of candy to distribute into boxes that can hold a maximum of 5 pieces each. if she wants to put an equal number of candies in each box, but some will be left over. how many pieces could be leftover?"
plan,trip,"A school is planning a field trip and needs to rent a bus with a capacity of exactly 45 seats for its students and chaperones. there are three types of buses available: small, medium, and large. small buses have 10 seats, medium buses have 15 seats, and large buses have 20 seats. how many different combinations of buses are possible if at least one small bus, at least one medium bus, and at least one large bus must be rented?"
sell,loaf,"A bakery sells 250 loaves of bread per day, and they use a recipe that calls for 2 cups of flour per loaf. however, they also have a special ingredient called ""flavor enhancer"" that comes in 12-ounce containers. if each container holds exactly 16 ounces of flour, how many containers of flavor enhancer does the bakery need to purchase to ensure they always have enough flour for the next day's baking?"
sell,total,A bakery sells a total of 240 loaves of bread per day. they make a profit of $0.50 per loaf of whole wheat bread and $0.75 per loaf of white bread. what is the maximum amount of money the bakery can make in a day if they produce x number of loaves of whole wheat bread and (240 - x) loaves of white bread?
have,area,"A circle has an area of πr^2 = 49π, where r is the radius of the circle. what is the value of r?"
sell,type,"A bakery sells two types of cookies: chocolate chip and oatmeal raisin. the ratio of chocolate chip cookies to oatmeal raisin cookies is 3:5. if a batch of cookie dough can make 48 cookies, how many batches would be needed to have an equal number of each type of cookie?"
have,shelf,"A bookshelf has 5 shelves, and each shelf can hold 8 boxes of books. if the bookshelf is currently empty, how many different ways can it be filled with books if no two adjacent shelves can contain more than 4 boxes?"
drop,mug,"By accident, you drop your favorite coffee mug on the floor and it breaks into 6 pieces. assuming the pieces fall randomly and land such that none overlap, what is the probability that the largest piece will be less than 50% of the original volume?"
fill,tank,"Two pipes can fill a tank in 6 hours and 8 hours, respectively. if both pipes are used together, how many hours will it take them to fill the tank?"
hold,gallon,"A water tank can hold 240 gallons of water, and it is being filled at a rate of 6 gallons per minute. if the tank is currently empty, how many minutes will it take to fill the tank?"
sell,loaf,"A bakery sells 250 loaves of bread per day. on tuesdays and thursdays, they sell only half as many loaves as on other days. how much more do they sell on wednesdays and fridays combined compared to tuesdays and thursdays combined?"
save,money,"Tom has been saving money for a new bike and has $\$240$. his parents have agreed to contribute $\$150$, and his grandmother is going to give him an additional$\$100$. if his total savings will be $x$, what is the value of $x$?"
hold,gallon,"A water tank can hold 1200 gallons of water. due to leaks, the water level drops by 120 gallons in 8 hours. how many gallons per hour does the leak drop the water level?"
score,point,"Sarah scored 18 points on her first test, 22 points on her second test, and x points on her third test. what is the average score she needs to get on her third test to have an overall average of 21 points?"
save,money,"Tom's grandfather has been saving money for years and recently found $12,960 in his attic. if he wants to put this amount into a savings account that earns an annual interest rate of 4% compounded annually, how much will it grow to after 10 years?"
buy,television,"Rachel bought a television at a sale price of $740. if she also bought a dvd player at a discount of 15% off the list price of $200, what is her total expenditure on both items combined?"
have,budget,"A school has a budget of $\$120,000$ to build a new playground for its students. if the construction company quotes a price of$\$6\text{ per cubic foot}$ for the project, what is the maximum size of the playground that can be built?"
cost,\$8$.,"At a certain bakery, a dozen muffins cost $\$8$. how much will a half-dozen muffins set you back?"
save,money,"Tom's family has been saving money for a new bike and have $\$135$ in their piggy bank. they plan to put away an additional amount each week from their weekly allowance. if they save $\$30$ more each week than last week, how many weeks will it take them to have enough money to buy the bike, which costs $\$180$?"
plan,trip,"Tom is planning a road trip from city a to city b that is 525 miles long. if he drives at an average speed of 50 miles per hour for the entire trip, how many hours will it take him to reach his destination?"
save,money,Sarah has been saving money for a new bike and has $120 in her piggy bank. she plans to add $15 each week until she reaches a total of $250. how many weeks will it take her to save enough money for the bike?
hold,gallon,"A water tank can hold 2400 gallons of water. due to leakage, 150 gallons of water escape every day. how many days will it take to empty the tank completely if it is initially full?"
have,sale,"In a particular year, a certain store had sales totaling $2436. the store had sales tax of 8% on all items sold. how much was the total amount paid by customers, including tax?"
have,promotion,A bakery has a special promotion where they offer a 15% discount on all orders over $100. what is the minimum order amount required to qualify for the discount?
cover,combination,"In a certain lottery, you buy two tickets, one for the first half and one for the second half of the numbers drawn (i.e., the tickets cover all possible combinations). if your first ticket wins, but your second ticket loses, what fraction of the total number of possible outcomes do you win?"
have,employee,"Tom's company has an employee who earns 25% commission on every sale she makes. if her monthly quota is 50 sales, how much commission does she earn in a month if she sells x items."
sell,total,"A bakery sells a total of 480 loaves of bread every day. they make a profit of $0.50 per loaf of whole wheat bread and $1.00 per loaf of white bread. if they sell an equal number of each type of bread, how many loaves of each type do they sell?"
have,box,"Tom has 11 identical boxes of pens to distribute among his 9 colleagues, with each box containing either 3 or 5 pens. if he uses up all the pens and ends up with a remainder of 4 pens after distribution, how many pens does tom have in total?"
sell,box,"A certain company sells boxes of paper that contain an equal number of sheets, with the only difference being the weight of the box itself. if a box weighing 10 pounds can hold 40 sheets, and a box weighing 15 pounds can hold 80 sheets, what is the greatest possible weight of a box that can hold 120 sheets?"
plan,day,"A school is planning a field day and needs to order 240 bales of hay for 30 students to sit in rows of 8. if each bale contains 10 bundles of hay, how many bundles of hay will they need in total?"
sell,loaf,A bakery sells 250 loaves of bread per day. they make a profit of $0.50 per loaf if they sell it at a price that is $0.20 higher than the cost. what is their daily profit if they sell all the bread at this price?
hold,foot,"A water tank can hold 450 cubic feet of water. if it is currently empty, how many gallons will it take to fill it?"
sell,total,"A bakery sells a total of 250 loaves of bread per day. they make a profit of $0.50 on each loaf of whole wheat bread and $0.75 on each loaf of white bread. if they sell 120 more loaves of white bread than whole wheat bread, how much profit does the bakery make per day?"
sell,loaf,"A bakery sells 250 loaves of bread per day. they make $0.50 profit on each loaf. if they operate for 120 days, how much money will they have made in total?"
have,type,"A company has three types of computers: x86, alpha, and sparc. the ratio of x86 to alpha to sparc is 7:5:6. if there are 200 x86 computers, how many sparc computers does the company have?"
have,number,"In a town with 8 districts, each district has an equal number of residents. if the total population of the town is 40,000 and the mayor's office is located in the central district, how many residents live in each district?"
have,sale,"A bakery is having a sale on bread, offering a 15% discount on all loaves of whole wheat bread. if a regular loaf costs $2.50, how much will you pay for a loaf during the sale?"
save,money,Tom has been saving money for a new bike and has $240 in his savings account. he wants to buy a bike that costs $180. how much more money will he need to save?
have,can,Tom has -64 cans of soda that he wants to distribute among his friends. each can costs $32 to purchase. how much will it cost tom to buy these cans?
sell,cookie,"A bakery sells more than twice as many cookies in march as they do in january. in january, the bakery sold 720 cookies. how many cookies did they sell in march?"
find,length,Find the length of the hypotenuse of a right triangle with legs measuring 9 cm and 12 cm.
have,area,"A circle has an area of πr^2. if the radius is increased to twice its original size, the new area becomes 64π. find the original area."
sell,total,A bakery sells a total of 480 muffins and cakes in a day. the number of muffins sold is 20 more than twice the number of cakes sold. how many cakes were sold?
hold,liter,"A water tank can hold 2400 liters of water. it is filled at a rate of 10 liters per minute. however, 15 liters of water flows out every 5 minutes. how many minutes will it take to fill the tank completely?"
have,length,"A rectangular prism has a length of 8 inches, a width of 6 inches, and an unknown height. the volume of the prism is equal to the sum of the volumes of two smaller prisms with lengths of 3 inches and 4 inches. what is the height of the original prism?"
exist,point,"One focus of the ellipse $\frac{x^2}{2} + y^2 = 1$ is at $f = (1,0).$ there exists a point $p = (p,0),$ where $p > 0,$ such that for any chord $\overline{ab}$ that passes through $f,$ angles $\angle apf$ and $\angle bpf$ are equal. find $p.$"
get,mile,"Five friends - alex, ben, charlie, david, and emily - are planning a road trip from city a to city b. they have three cars: alex's car gets 30 miles per gallon, ben's car gets 20 miles per gallon, charlie's car gets 15 miles per gallon, david's car gets 25 miles per gallon, and emily's car gets 35 miles per gallon. if they want to fill up their gas tanks with enough fuel for the entire trip (which takes approximately 720 miles), what should be the ratio of gasoline used by alex's car to gasoline used by emily's car?"
sell,loaf,"If a bakery sells 240 loaves of bread per day, and each loaf costs $\$2.50$; what is the total cost of bread for a $4$-day period?"
find,area,A rectangular garden measures $25 \text{ m}$ by $15 \text{ m}$. find the area of the trapezoid with its base measuring $8 \text{ cm}$ more than the length of the shorter side of the garden.
sell,total,"A bakery sells a total of 480 muffins and cakes on any given day. if the ratio of muffins to cakes is 3:5, how many more muffins than cakes are sold each day?"
pay,employee,"A company pays its employees according to the following rate schedule: if an employee works for fewer than 30 days, the pay is $\text{\$\,}\frac{10}{\text{day}}$. if an employee works between 31 and 60 days, the pay is $\text{\$\,}\frac{8}{\text{day}}$. if an employee works between 61 and 120 days, the pay is $\text{\$\,}\frac{6}{\text{day}}$, etc. for how many different numbers of days worked will a full-time employee receive less than $\text{\$\,}50$?"
have,axis,"A parabola with equation $y = ax^2 + bx + c$ has its axis of symmetry at x = 3, where a and b are both positive constants. if the y-intercept is (0, -4), what is the value of b?"
hold,liter,A water tank can hold $l$ liters of water. it takes five hours for a pump to fill the tank at a rate of $\frac{6}{7}$ full each hour. how many liters does the tank hold? in this question i have tried but could not determine how many.
sell,total,"A bakery sells a total of $250$ loaves of bread per day, with $120$ of them being whole wheat and $130$ of them being white. if each loaf costs $\$2.50$, what is the daily revenue of the bakery?"
save,money,"Tom has been saving money for a new bike that costs $240. he already has $120 saved up, and he plans to mow lawns to earn more money. each lawn he mows earns him $15. how many lawns does he needs to mow to have enough money to buy the bike?"
sell,loaf,"A bakery sells 250 loaves of bread per day. they make a profit of $0.50 per loaf on whole wheat bread and $0.75 per loaf on white bread. if they spend $180 to purchase a new oven, how much will they need to increase their daily price for whole wheat bread in order to break even?"
have,box,"Maria has 15 boxes of pens to pack for a big sale at her store. each box can hold either 3 or 9 pens, but she wants an equal number of boxes in each size. if she packs x boxes with 3 pens and y boxes with 9 pens, how many more boxes will she need to buy to have an equal distribution?"
have,shelf,"A bookshelf has 5 shelves, and each shelf can hold books that take up exactly 0.8 cubic feet of space. how many books can be placed on the bookshelf if it is currently empty?"
plan,trip,"Tom's family is planning a road trip from city a to city b. the distance between the two cities is 250 miles. if they drive at an average speed of 40 miles per hour, what time will they arrive at city b, assuming they leave city a at 8:00 am?"
plan,project,"A school is planning a road construction project that will involve paving a rectangular section of highway with asphalt. if 150 yards of asphalt are needed for every 5 feet of length, how many yards of asphalt will be required to pave a section 300 feet long?"
hold,gallon,A water tank can hold 1200 gallons of water. water flows into the tank at a rate of 20 gallons per minute and drains out at a rate of 10 gallons per minute. how many minutes will it take for the water level in the tank to drop from 60% full to 30% full?
sell,total,"A bakery sells a total of 240 loaves of bread per day. they sell a combination of whole wheat and white bread. if they sell twice as many whole wheat loaves as white bread loaves, and the ratio of whole wheat to white bread is 3:2, how many loaves of each type do they sell?"
sell,type,"A bakery sells three types of bread: white bread, whole wheat bread, and rye bread. the ratio of white bread to whole wheat bread to rye bread is 5:3:2. if the total number of loaves of bread sold was 240, how many loaves of each type were sold?"
have,capacity,"A water tank has a capacity of 288 liters, and it is filled at a rate that can be represented by the function f(x) = (3x + 2), where x is in hours. if the tank was empty initially, how much will it hold when x=12?"
save,money,Tom has been saving money for a new bike and has $120 in his savings account. he plans to save $5 more each week until he reaches his goal of having enough money to buy a bike that costs $180. what is the number of weeks it will take him to reach his goal?
offer,discount,"A popular restaurant offers a discount on pizzas, tacos, and burgers. the first 50 customers who order receive a free taco. every 25th customer gets a free pizza. every 15th customer gets a free burger. if there are 650 customers in line at lunchtime, how many customers will get at least one of these three free items?"
produce,box,"A certain company is producing boxes for shipping products. each box requires two wooden frames, which take five minutes to assemble. however, if the second frame can be assembled while the first one is being disassembled, then each pair of frames can be assembled in only four minutes. how many frames can be assembled in eight hours?"
score,point,"In a school math competition, a student scored x points in each test. she took five tests, and her average score was 12. what is the sum of the scores she got on all the tests?"
have,perimeter,"A rectangular garden has a perimeter of 32 meters. if its length is twice its width, what is the area of the garden?"
sell,total,A bakery sells a total of 480 muffins and cakes on a certain day. the number of muffin sales was 20% higher than the number of cake sales. how many muffin sales were there if each muffin costs $2.50 and each cake costs $3.25?
have,sale,"A bakery is having a sale on bread. a regular loaf of bread normally costs $\$2.50$, but during the sale, it is discounted by $15\%$. how much does the discounted loaf cost?"
sell,variety,"A bakery sells a variety of pastries, including croissants and danishes. the cost of making one batch of croissants is $10 and the cost of making one batch of danishes is $12. if sara wants to make both types of pastries, but only has enough ingredients for 2 batches of croissants, what will she have left over after making those 2 batches?"
buy,box,"Benjamina buys 12 boxes of crayons for her art class. each box contains 8 packs of crayons, and each pack contains 6 crayons. how many crayons does benjamina have in total?"
sell,average,"A bakery sells an average of 250 loaves of bread per day. if they make a profit of $\frac{2}{5}$ on each loaf, how much do they make from selling 500 loaves of bread in one day?"
sell,total,"A bakery sells a total of 250 loaves of bread per day, with the number of whole wheat loaves and white bread sold being in a ratio of 5:3. if a dozen whole wheat loaves costs $2.50 and a dozen white bread loaves costs $1.75, what is the average cost per loaf?"
produce,bicycle,"A bicycle manufacturer produces 120 bicycles per hour. if the machines used in production require replacement every 100 hours, how many sets of machine parts need to be replaced in order to produce 4000 bicycles?"
sell,loaf,"In a bakery, they sell 240 loaves of bread per day. each loaf costs $\$3$. what is the total daily revenue from selling bread if they increase the price by $\$0.50$ per loaf?"
width,y$,"The volume of a rectangular prism with length $x$, width $y$, and height $z$ is given as $v = xyz$. if the surface area of the box is $a=30$ square units, find the value of $(x+y+z)^2$."
